university_name,university_score,ranking
"University of California, Berkeley",3.01718,1
"Carnegie Mellon University",2.74858,2
"University of California, Los Angeles",2.10311,3
"Stanford University",1.81460,4
"University of Washington",1.66014,5
"Duke University",1.63612,6
"Massachusetts Institute of Technology",1.38042,7
"University of Texas at Austin",1.11462,8
"Northeastern University",1.08281,9
"University of California, Santa Barbara",1.06343,10
"University of Chicago",1.00097,11
"Johns Hopkins University",0.99547,12
"University of California, Merced",0.59905,13
"University of Rochester",0.58609,14
"University of Pennsylvania",0.58270,15
"University of Southern California",0.56484,16
"Michigan State University",0.55709,17
"University of Notre Dame",0.50349,18
"North Carolina State University",0.49863,19
"Arizona State University",0.48142,20
"Rice University",0.48123,21
"University of California, San Diego",0.47822,22
"University of Oregon",0.45685,23
"Georgia Institute of Technology",0.43120,24
