university_name,university_score,ranking
"Carnegie Mellon University",3.31887,1
"University of California, Berkeley",2.97190,2
"University of California, Los Angeles",2.57260,3
"University of Washington",1.71766,4
"Stanford University",1.41526,5
"Duke University",1.20237,6
"University of Texas at Austin",1.14758,7
"Northeastern University",1.08786,8
"University of California, Santa Barbara",1.02329,9
"Johns Hopkins University",0.99330,10
"University of Chicago",0.97294,11
"University of California, Merced",0.59581,12
"University of Pennsylvania",0.59468,13
"Michigan State University",0.58693,14
"University of Rochester",0.57545,15
"University of Southern California",0.57140,16
"Massachusetts Institute of Technology",0.55383,17
"University of Notre Dame",0.52883,18
"Rice University",0.51360,19
"Arizona State University",0.51171,20
"University of California, San Diego",0.47417,21
"Harvard University",0.44587,22
"North Carolina State University",0.44015,23
"Georgia Institute of Technology",0.43438,24
"Texas A&M University",0.43112,25
"University of Oregon",0.43038,26
