university_name,university_score,ranking
"University of California, Berkeley",3.06166,1
"Carnegie Mellon University",2.23182,2
"Duke University",2.07245,3
"University of California, Los Angeles",2.06569,4
"Massachusetts Institute of Technology",1.82448,5
"University of Washington",1.64734,6
"University of Chicago",1.43452,7
"Stanford University",1.41145,8
"University of California, Santa Barbara",1.09285,9
"University of Texas at Austin",1.07963,10
"Northeastern University",1.07529,11
"Johns Hopkins University",1.01960,12
"University of California, Merced",0.63032,13
"University of Rochester",0.59636,14
"University of Pennsylvania",0.57857,15
"University of Southern California",0.55921,16
"Michigan State University",0.52473,17
"North Carolina State University",0.52457,18
"University of Notre Dame",0.47572,19
"University of California, San Diego",0.47474,20
"University of Oregon",0.46480,21
"Arizona State University",0.45124,22
"Rice University",0.44874,23
